2840045800;1
2840167400;0
3293471100;1
3889795900;0
6153107800;1
6153147300;0
8768776500;1
8768818200;0
9281760700;1
11046021300;0
12151421000;1
12151491100;0
12779051300;1
13645043900;2
14026115500;1
14344533000;2
14554905900;1
14688708700;0
17553648200;1
17553689400;0
20151621400;1
20151660100;0
20766066900;1
21391362600;2
22420748200;1
22776275700;0
24084849800;1
24084889600;0
26602412700;1
26602435300;0
29348098000;1
29348137300;0
29755979000;1
30632802800;2
31000978300;1
31257652200;0
33714317100;1
33714356600;0
36312388700;1
36312413200;0
39108856400;1
39108949700;0
41802107500;1
41802141700;0
45226467800;1
45226501600;0
48002323900;1
48002358400;0
48190092800;1
49201828600;0
51247380400;1
51247397400;0
53938775700;1
53938809300;0
56521487400;1
56521520900;0
59051026800;1
59051059800;0
61553249200;1
61553300800;0
62031884000;1
62032090200;2
63918909500;1
64388180100;0
