110338600;1
110449900;0
140811100;1
248851900;2
2595540400;1
2627185600;2
3246339000;1
3246406000;2
5949358900;1
5949387800;2
8546003200;1
8580505600;2
9203057200;1
9236544700;2
11939218900;1
11971712300;2
12733877300;1
12733947700;2
13593008700;1
13593100500;2
14291017200;1
14291108400;2
17108548300;1
17108632300;2
19947293500;1
19971182300;2
20686345000;1
20720201500;2
21297254800;1
21331236900;2
23839818500;1
23872385700;2
26393544300;1
26393607500;2
29038985200;1
29063679500;2
29707847200;1
29707914200;2
30558942900;1
30559029900;2
33454803600;1
33454879000;2
36093554900;1
36093616500;2
38890668400;1
38924244100;2
41484457000;1
41485484000;2
44894055500;1
44930591000;2
47450364200;1
47484734600;2
48130972600;1
48131036000;2
50998851400;1
50999013400;2
53688612600;1
53723091700;2
56309063900;1
56348243800;2
58850148700;1
58886491500;2
61345234700;1
62024600500;0
